User_ID,Segment,Trend_Affinity,Geography
U_B01_00000,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00001,Fitness Enthusiast,Vegan,Tier 1
U_B01_00002,Gen-Z Trendseeker,Sustainable Packaging,Tier 1
U_B01_00003,Premium Gourmet,Value-Pack,Tier 3
U_B01_00004,Gen-Z Trendseeker,Value-Pack,Tier 2
U_B01_00005,Budget Parent,Vegan,Tier 1
U_B01_00006,Budget Parent,Luxury,Tier 3
U_B01_00007,Premium Gourmet,Value-Pack,Tier 2
U_B01_00008,Gen-Z Trendseeker,Vegan,Tier 2
U_B01_00009,Premium Gourmet,Luxury,Tier 1
U_B01_00010,Gen-Z Trendseeker,Value-Pack,Tier 2
U_B01_00011,Premium Gourmet,Luxury,Tier 2
U_B01_00012,Premium Gourmet,Sustainable Packaging,Tier 1
U_B01_00013,Premium Gourmet,Value-Pack,Tier 1
U_B01_00014,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00015,Fitness Enthusiast,High-Protein,Tier 2
U_B01_00016,Gen-Z Trendseeker,Vegan,Tier 3
U_B01_00017,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00018,Fitness Enthusiast,Value-Pack,Tier 1
U_B01_00019,Budget Parent,Vegan,Tier 2
U_B01_00020,Fitness Enthusiast,Sustainable Packaging,Tier 3
U_B01_00021,Gen-Z Trendseeker,High-Protein,Tier 3
U_B01_00022,Gen-Z Trendseeker,Luxury,Tier 1
U_B01_00023,Fitness Enthusiast,Luxury,Tier 3
U_B01_00024,Fitness Enthusiast,Luxury,Tier 2
U_B01_00025,Budget Parent,Vegan,Tier 3
U_B01_00026,Budget Parent,Luxury,Tier 1
U_B01_00027,Budget Parent,Vegan,Tier 3
U_B01_00028,Gen-Z Trendseeker,Luxury,Tier 1
U_B01_00029,Budget Parent,Vegan,Tier 1
U_B01_00030,Gen-Z Trendseeker,Vegan,Tier 2
U_B01_00031,Gen-Z Trendseeker,Value-Pack,Tier 2
U_B01_00032,Premium Gourmet,Value-Pack,Tier 2
U_B01_00033,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00034,Gen-Z Trendseeker,Vegan,Tier 3
U_B01_00035,Premium Gourmet,Luxury,Tier 1
U_B01_00036,Gen-Z Trendseeker,Value-Pack,Tier 1
U_B01_00037,Fitness Enthusiast,High-Protein,Tier 2
U_B01_00038,Premium Gourmet,Luxury,Tier 1
U_B01_00039,Gen-Z Trendseeker,High-Protein,Tier 2
U_B01_00040,Budget Parent,Luxury,Tier 1
U_B01_00041,Premium Gourmet,Luxury,Tier 1
U_B01_00042,Fitness Enthusiast,Vegan,Tier 2
U_B01_00043,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00044,Fitness Enthusiast,Luxury,Tier 1
U_B01_00045,Budget Parent,High-Protein,Tier 1
U_B01_00046,Gen-Z Trendseeker,High-Protein,Tier 1
U_B01_00047,Premium Gourmet,Value-Pack,Tier 3
U_B01_00048,Premium Gourmet,Value-Pack,Tier 3
U_B01_00049,Budget Parent,Sustainable Packaging,Tier 1
U_B01_00050,Fitness Enthusiast,Vegan,Tier 3
U_B01_00051,Fitness Enthusiast,Luxury,Tier 2
U_B01_00052,Budget Parent,Sustainable Packaging,Tier 3
U_B01_00053,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00054,Fitness Enthusiast,Luxury,Tier 3
U_B01_00055,Premium Gourmet,High-Protein,Tier 3
U_B01_00056,Premium Gourmet,Sustainable Packaging,Tier 3
U_B01_00057,Budget Parent,Value-Pack,Tier 3
U_B01_00058,Fitness Enthusiast,Vegan,Tier 1
U_B01_00059,Fitness Enthusiast,Sustainable Packaging,Tier 3
U_B01_00060,Budget Parent,Sustainable Packaging,Tier 3
U_B01_00061,Gen-Z Trendseeker,Sustainable Packaging,Tier 2
U_B01_00062,Gen-Z Trendseeker,High-Protein,Tier 2
U_B01_00063,Budget Parent,Vegan,Tier 2
U_B01_00064,Premium Gourmet,High-Protein,Tier 2
U_B01_00065,Premium Gourmet,Luxury,Tier 2
U_B01_00066,Budget Parent,Sustainable Packaging,Tier 3
U_B01_00067,Fitness Enthusiast,Value-Pack,Tier 1
U_B01_00068,Premium Gourmet,Value-Pack,Tier 2
U_B01_00069,Budget Parent,Value-Pack,Tier 3
U_B01_00070,Gen-Z Trendseeker,Vegan,Tier 2
U_B01_00071,Gen-Z Trendseeker,Value-Pack,Tier 2
U_B01_00072,Budget Parent,Vegan,Tier 2
U_B01_00073,Budget Parent,High-Protein,Tier 2
U_B01_00074,Fitness Enthusiast,Sustainable Packaging,Tier 2
U_B01_00075,Premium Gourmet,Vegan,Tier 3
U_B01_00076,Fitness Enthusiast,High-Protein,Tier 2
U_B01_00077,Premium Gourmet,Value-Pack,Tier 2
U_B01_00078,Fitness Enthusiast,Sustainable Packaging,Tier 3
U_B01_00079,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00080,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00081,Budget Parent,Vegan,Tier 1
U_B01_00082,Budget Parent,Luxury,Tier 2
U_B01_00083,Fitness Enthusiast,Sustainable Packaging,Tier 3
U_B01_00084,Fitness Enthusiast,Vegan,Tier 2
U_B01_00085,Fitness Enthusiast,High-Protein,Tier 2
U_B01_00086,Gen-Z Trendseeker,Vegan,Tier 1
U_B01_00087,Premium Gourmet,Vegan,Tier 1
U_B01_00088,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00089,Premium Gourmet,Vegan,Tier 3
U_B01_00090,Premium Gourmet,Luxury,Tier 2
U_B01_00091,Budget Parent,Vegan,Tier 3
U_B01_00092,Premium Gourmet,High-Protein,Tier 1
U_B01_00093,Gen-Z Trendseeker,Vegan,Tier 3
U_B01_00094,Budget Parent,Vegan,Tier 1
U_B01_00095,Fitness Enthusiast,High-Protein,Tier 2
U_B01_00096,Budget Parent,High-Protein,Tier 2
U_B01_00097,Gen-Z Trendseeker,Vegan,Tier 2
U_B01_00098,Budget Parent,Sustainable Packaging,Tier 1
U_B01_00099,Premium Gourmet,Sustainable Packaging,Tier 1
U_B01_00100,Budget Parent,Luxury,Tier 1
U_B01_00101,Budget Parent,Luxury,Tier 3
U_B01_00102,Premium Gourmet,Sustainable Packaging,Tier 2
U_B01_00103,Budget Parent,High-Protein,Tier 3
U_B01_00104,Premium Gourmet,Luxury,Tier 2
U_B01_00105,Fitness Enthusiast,Vegan,Tier 3
U_B01_00106,Premium Gourmet,Value-Pack,Tier 2
U_B01_00107,Budget Parent,Luxury,Tier 1
U_B01_00108,Premium Gourmet,High-Protein,Tier 3
U_B01_00109,Gen-Z Trendseeker,High-Protein,Tier 1
U_B01_00110,Premium Gourmet,Value-Pack,Tier 3
U_B01_00111,Budget Parent,Vegan,Tier 2
U_B01_00112,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00113,Budget Parent,Luxury,Tier 2
U_B01_00114,Budget Parent,Sustainable Packaging,Tier 1
U_B01_00115,Gen-Z Trendseeker,Sustainable Packaging,Tier 1
U_B01_00116,Gen-Z Trendseeker,Luxury,Tier 1
U_B01_00117,Premium Gourmet,High-Protein,Tier 3
U_B01_00118,Gen-Z Trendseeker,Value-Pack,Tier 1
U_B01_00119,Premium Gourmet,Value-Pack,Tier 3
U_B01_00120,Gen-Z Trendseeker,Luxury,Tier 3
U_B01_00121,Budget Parent,Sustainable Packaging,Tier 3
U_B01_00122,Premium Gourmet,Sustainable Packaging,Tier 3
U_B01_00123,Premium Gourmet,Luxury,Tier 2
U_B01_00124,Budget Parent,Vegan,Tier 2
U_B01_00125,Budget Parent,Vegan,Tier 2
U_B01_00126,Gen-Z Trendseeker,High-Protein,Tier 3
U_B01_00127,Premium Gourmet,Vegan,Tier 2
U_B01_00128,Gen-Z Trendseeker,Sustainable Packaging,Tier 1
U_B01_00129,Fitness Enthusiast,Vegan,Tier 3
U_B01_00130,Fitness Enthusiast,Value-Pack,Tier 3
U_B01_00131,Budget Parent,Sustainable Packaging,Tier 2
U_B01_00132,Fitness Enthusiast,Luxury,Tier 3
U_B01_00133,Premium Gourmet,Luxury,Tier 3
U_B01_00134,Premium Gourmet,Luxury,Tier 1
U_B01_00135,Budget Parent,Sustainable Packaging,Tier 2
U_B01_00136,Premium Gourmet,Sustainable Packaging,Tier 1
U_B01_00137,Budget Parent,Vegan,Tier 1
U_B01_00138,Fitness Enthusiast,Vegan,Tier 2
U_B01_00139,Budget Parent,Value-Pack,Tier 2
U_B01_00140,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00141,Gen-Z Trendseeker,Value-Pack,Tier 1
U_B01_00142,Fitness Enthusiast,Vegan,Tier 2
U_B01_00143,Budget Parent,Sustainable Packaging,Tier 2
U_B01_00144,Budget Parent,Vegan,Tier 2
U_B01_00145,Fitness Enthusiast,High-Protein,Tier 3
U_B01_00146,Premium Gourmet,Luxury,Tier 3
U_B01_00147,Fitness Enthusiast,Sustainable Packaging,Tier 1
U_B01_00148,Budget Parent,Vegan,Tier 1
U_B01_00149,Premium Gourmet,Value-Pack,Tier 3
