User_ID,Brand_ID,Path_Str,Converted,Path_Length
U_B01_00000,B01,Influencer Blog,False,1
U_B01_00001,B01,Google Search > Marketplace > Instagram > Influencer Blog,False,4
U_B01_00002,B01,Marketplace > Google Search > YouTube > Influencer Blog > Google Search,False,5
U_B01_00003,B01,Google Search > Instagram,False,2
U_B01_00004,B01,Google Search > YouTube,False,2
U_B01_00005,B01,Marketplace > Influencer Blog > Marketplace > YouTube > Instagram,False,5
U_B01_00006,B01,Google Search > YouTube > Influencer Blog > Google Search > Marketplace > Influencer Blog,False,6
U_B01_00007,B01,Influencer Blog > YouTube > Google Search > Marketplace,False,4
U_B01_00008,B01,Google Search,False,1
U_B01_00009,B01,Influencer Blog > YouTube > Google Search > YouTube > Influencer Blog,False,5
U_B01_00010,B01,Instagram > Marketplace,False,2
U_B01_00011,B01,Google Search,True,1
U_B01_00012,B01,YouTube > Marketplace > YouTube,False,3
U_B01_00013,B01,Instagram > Google Search > Instagram > Google Search > Marketplace,False,5
U_B01_00014,B01,YouTube > Marketplace,True,2
U_B01_00015,B01,YouTube > Instagram > Influencer Blog > Marketplace,False,4
U_B01_00016,B01,Marketplace > Google Search > Marketplace > Google Search > Marketplace > Instagram,False,6
U_B01_00017,B01,Marketplace > Google Search > Marketplace,False,3
U_B01_00018,B01,YouTube > Google Search,False,2
U_B01_00019,B01,Influencer Blog,False,1
U_B01_00020,B01,Marketplace > YouTube > Google Search,False,3
U_B01_00021,B01,Influencer Blog > Marketplace,False,2
U_B01_00022,B01,Influencer Blog > Marketplace > Google Search > YouTube > Instagram > Marketplace,False,6
U_B01_00023,B01,Influencer Blog,False,1
U_B01_00025,B01,Google Search > Influencer Blog > Marketplace > Google Search,False,4
U_B01_00026,B01,Instagram > Influencer Blog > Google Search > YouTube > Influencer Blog,False,5
U_B01_00027,B01,Google Search > Marketplace > Google Search > Marketplace,False,4
U_B01_00028,B01,Marketplace > Influencer Blog > Marketplace,False,3
U_B01_00029,B01,Google Search > Marketplace,False,2
U_B01_00030,B01,Marketplace,False,1
U_B01_00031,B01,Google Search > Instagram > YouTube > Marketplace > Instagram,True,5
U_B01_00032,B01,Instagram > Marketplace > Influencer Blog,False,3
U_B01_00033,B01,Influencer Blog > Google Search,False,2
U_B01_00034,B01,Instagram > Influencer Blog > Instagram > Influencer Blog,False,4
U_B01_00035,B01,Influencer Blog,False,1
U_B01_00036,B01,Instagram > Google Search > Influencer Blog > YouTube > Google Search,False,5
U_B01_00037,B01,YouTube > Marketplace > Influencer Blog,False,3
U_B01_00038,B01,Influencer Blog > Google Search > Influencer Blog,False,3
U_B01_00039,B01,YouTube,False,1
U_B01_00040,B01,Google Search > YouTube > Instagram,False,3
U_B01_00041,B01,Google Search > Influencer Blog > YouTube,False,3
U_B01_00042,B01,YouTube > Marketplace > Influencer Blog,False,3
U_B01_00043,B01,Influencer Blog > Instagram > Google Search,False,3
U_B01_00044,B01,Instagram > Marketplace > YouTube,False,3
U_B01_00045,B01,Google Search > YouTube,False,2
U_B01_00046,B01,Influencer Blog > Google Search > Marketplace,False,3
U_B01_00047,B01,Influencer Blog,False,1
U_B01_00048,B01,YouTube > Marketplace,False,2
U_B01_00049,B01,Google Search > YouTube > Instagram,True,3
U_B01_00050,B01,Influencer Blog,False,1
U_B01_00051,B01,YouTube > Influencer Blog,False,2
U_B01_00052,B01,YouTube > Google Search > Influencer Blog > Instagram,False,4
U_B01_00053,B01,Google Search > YouTube,False,2
U_B01_00054,B01,Influencer Blog > Instagram > YouTube > Google Search > Influencer Blog,False,5
U_B01_00055,B01,YouTube > Influencer Blog > Google Search,False,3
U_B01_00056,B01,Influencer Blog > Marketplace > YouTube > Marketplace > YouTube > Marketplace,False,6
U_B01_00057,B01,Influencer Blog > Marketplace > Instagram > Influencer Blog,False,4
U_B01_00058,B01,Google Search,False,1
U_B01_00059,B01,Instagram > YouTube > Marketplace > YouTube > Google Search,True,5
U_B01_00060,B01,YouTube > Marketplace,False,2
U_B01_00061,B01,YouTube > Marketplace > Influencer Blog > YouTube > Marketplace,False,5
U_B01_00062,B01,Google Search > Influencer Blog > Google Search > Marketplace,False,4
U_B01_00063,B01,YouTube > Influencer Blog > Instagram,False,3
U_B01_00064,B01,Influencer Blog,False,1
U_B01_00065,B01,YouTube,False,1
U_B01_00066,B01,Influencer Blog,False,1
U_B01_00067,B01,Google Search > YouTube,False,2
U_B01_00068,B01,Google Search > Instagram,False,2
U_B01_00069,B01,Google Search > Influencer Blog > Marketplace,False,3
U_B01_00070,B01,Google Search > Instagram > YouTube > Instagram,True,4
U_B01_00071,B01,Instagram > Influencer Blog > YouTube,False,3
U_B01_00072,B01,YouTube,False,1
U_B01_00073,B01,Instagram,False,1
U_B01_00074,B01,YouTube > Instagram > Influencer Blog,False,3
U_B01_00075,B01,Marketplace > Influencer Blog > Instagram > YouTube,False,4
