User_ID,Brand_ID,Purchase_Timestamp,Last_Click_Channel,Last_Click_Timestamp,Credit,Attribution_Type
U_B01_00011,B01,2026-01-02 12:11:00,Google Search,,1.0,orphan_fallback
U_B01_00014,B01,2026-01-03 08:47:00,Marketplace,,1.0,orphan_fallback
U_B01_00031,B01,2026-01-15 01:25:00,Instagram,,1.0,orphan_fallback
U_B01_00049,B01,2026-01-10 06:10:00,Instagram,,1.0,orphan_fallback
U_B01_00059,B01,2026-01-09 03:56:00,Google Search,,1.0,orphan_fallback
U_B01_00070,B01,2026-01-06 07:19:00,Instagram,,1.0,orphan_fallback
U_B01_00144,B01,2026-01-14 16:29:00,YouTube,,1.0,orphan_fallback
U_B01_00150,B01,2026-01-11 08:30:00,Instagram,,1.0,orphan_fallback
U_B01_00159,B01,2026-01-05 05:45:00,Instagram,,1.0,orphan_fallback
U_B01_00167,B01,2026-01-12 07:38:00,Google Search,2026-01-10 18:16:00,1.0,last_click
U_B01_00172,B01,2026-01-10 08:15:00,Instagram,,1.0,orphan_fallback
U_B01_00179,B01,2026-01-10 22:33:00,YouTube,2026-01-09 01:51:00,1.0,last_click
U_B01_00184,B01,2026-01-06 23:28:00,YouTube,2026-01-01 15:00:00,1.0,last_click
U_B01_00189,B01,2026-01-11 22:23:00,Instagram,,1.0,orphan_fallback
U_B01_00190,B01,2026-01-09 11:55:00,Influencer Blog,,1.0,orphan_fallback
U_B01_00197,B01,2026-01-08 22:17:00,Instagram,,1.0,orphan_fallback
U_B01_00219,B01,2026-01-07 04:43:00,Instagram,,1.0,orphan_fallback
U_B01_00232,B01,2026-01-10 19:35:00,Influencer Blog,,1.0,orphan_fallback
U_B01_00234,B01,2026-01-11 22:56:00,Instagram,,1.0,orphan_fallback
U_B01_00293,B01,2026-01-08 15:16:00,Instagram,,1.0,orphan_fallback
U_B01_00294,B01,2026-01-06 07:55:00,YouTube,,1.0,orphan_fallback
U_B01_00321,B01,2026-01-10 18:13:00,YouTube,,1.0,orphan_fallback
U_B01_00332,B01,2026-01-13 16:07:00,Instagram,,1.0,orphan_fallback
U_B01_00345,B01,2026-01-13 21:29:00,YouTube,,1.0,orphan_fallback
U_B01_00348,B01,2026-01-04 15:09:00,Influencer Blog,,1.0,orphan_fallback
